Name,Country,Email
3HO Foundation (3HO),United States of America,  
5th Pillar,United States of America,info@5thpillar.org
A-Clinic Foundation,Finland,  
Aasara Sudhar Klao-Germanendra (ASK),Nepal,  
ABC-123,Slovenia,  
Aborda,Brazil,  
Abuja Children and Youth International Association of Nigeria (ACYIAN),Nigeria,  
Abwenzi Women’s Association,Zambia,  
"Academia de Futbol ""Tahuichi Aguilera""",Bolivia,  
Academy of Criminal Justice Sciences (ACJS),United States of America,  
3HO Foundation (3HO),United States of America,  
5th Pillar,United States of America,info@5thpillar.org
A-Clinic Foundation,Finland,  
Aasara Sudhar Klao-Germanendra (ASK),Nepal,  
ABC-123,Slovenia,  
Aborda,Brazil,  
Abuja Children and Youth International Association of Nigeria (ACYIAN),Nigeria,  
Abwenzi Women’s Association,Zambia,  
"Academia de Futbol ""Tahuichi Aguilera""",Bolivia,  
Academy of Criminal Justice Sciences (ACJS),United States of America,  
Accem,Spain,  
Access Info Europe,Spain,  
Acción Andina,Bolivia,  
Acción Contra el Alcoholísmo AC,Mexico,  
Accord Association,Kazakhstan,  
Accountability Cambodia (AC),Cambodia,  
Acting for Women in Distressing Circumstances (AFESIP - Laos),Lao Peop. Dem. Rep.,renee.daurelle@free.fr
"Action against Trafficking and Sexual Exploitation of Children and women, Bihar (ATSEC)",India,atsecbd@hotmail.com
Action Aid,South Africa,  
Action Centre for Rural Community Development (ACERCD),Cameroon,  
Action for Peace and Development (APD),Burundi,  
"Action Group for Research, Information and Training on Drug Abuse (AGRITDA)",Nigeria,  
Action Health Incorporated,Nigeria,  
Action on Armed Violence (AOAV),United Kingdom,  
ACTION SECOURS AMBULANCE (ASA),Haiti,  
Actions for Genuine Democratic Alternatives (AGENDA),Liberia,  
"Active - Sobriety, Friendship and Peace",Sweden,  
Active Help Organization (AHO),Pakistan,  
Activists Networking against the Exploitation of Children (Anex),South Africa,  
Addictive Drug Information Council (ADIC),Canada,  
Addictus-Philippines Incorporated,Philippines,  
Adolescent Health and Information Projects (AHIP),Nigeria,  
Adroe Global Foundation For Humanity (AGFH),Ghana,  
Adventist Development Relief Agency-Barbados,Barbados,  
"Advocacy, Research, Training and Services Foundation (ARTS)",Pakistan,  
Aein e Mehr,Iran (Islamic Republic of),  
AFCODE Resource Development Centre (AFCODE),Nigeria,  
Afghan Mobile Reconstruction Association (AMRAN),Afghanistan,  
Afghan Women and Children Development Organization,Afghanistan,  
Afghan Women Saffron Association (AWSA),Afghanistan,  
Afghanistan Research and Evaluation Unit (AREU),Afghanistan,  
Afghanistan Society and Legal Organization (ASLO),Afghanistan,  
Afghanistan Women Council (AWC),Afghanistan,  
Africa Centre for Open Governance (AFRICOG),Kenya,  
Africa Challenge Foundation (AFRICAF),Uganda,  
